Sample	num_nodes	num_edges	edge_density	num_pos_edges	portion_pos_edges	num_neg_edges	portion_neg_edges	average_pos_association_strength	average_neg_association_strength	transitivity_global_clusering_coef	transitivity_ave_clustering_coef_mean_local	ave_path_length	assortativity_nominal_EukProk	assortativity_nominal_Sizefraction	assortativity_degree	count_nano	count_pico	count_euk	count_prok	count_euk_nano	count_euk_pico	count_prok_nano	count_prok_pico	fraction_nano	fraction_pico	fraction_euk	fraction_prok	fraction_euk_nano	fraction_euk_pico	fraction_prok_nano	fraction_prok_pico
EA.20130423	1051	1191	0.00215848851434008	1101	0.924433249370277	90	0.0755667506297229	0.708244159575516	-0.67832320942184	0.034134007585335	0.0227645697454239	9.96213477330643	0.599003725886698	0.369501495024754	0.155923038698666	391	660	915	136	370	545	21	115	37.2026641294006	62.7973358705994	87.0599429115128	12.9400570884872	35.2045670789724	51.8553758325404	1.99809705042816	10.941960038059
EA.20130604	1229	1330	0.00176250917697447	1192	0.896240601503759	138	0.103759398496241	0.714574427405528	-0.690092960741717	0.0340770791075051	0.0273987358494401	11.9274132686898	0.592494279176202	0.351175031116174	0.134077247241791	373	856	961	268	338	623	35	233	30.3498779495525	69.6501220504475	78.193653376729	21.806346623271	27.5020341741253	50.6916192026037	2.84784377542718	18.9585028478438
EA.20130625	1379	1451	0.00152715783402499	1315	0.906271536871123	136	0.0937284631288766	0.718875665226948	-0.694412035168977	0.0261593341260404	0.0198614551793743	13.4921243750781	0.52854775200067	0.300691474805893	0.102050436566824	497	882	1048	331	460	588	37	294	36.0406091370558	63.9593908629442	75.9970993473532	24.0029006526468	33.3575054387237	42.6395939086294	2.68310369833212	21.3197969543147
EA.20131127	1334	1469	0.00165221215348815	1324	0.901293396868618	145	0.0987066031313819	0.712655925656146	-0.695149980664304	0.0236898779612347	0.0183165266106443	10.9512739054098	0.601526776718593	0.312988097572312	0.162932034363126	515	819	1097	237	484	613	31	206	38.6056971514243	61.3943028485757	82.2338830584708	17.7661169415292	36.2818590704648	45.952023988006	2.32383808095952	15.4422788605697
EA.20131230	1092	1202	0.00201784161454189	1092	0.908485856905158	110	0.0915141430948419	0.711457541764103	-0.688619258785116	0.0250439367311072	0.0209036103772946	10.1299175186018	0.574911587268566	0.317016350128557	0.0971715350037324	453	639	878	214	424	454	29	185	41.4835164835165	58.5164835164835	80.4029304029304	19.5970695970696	38.8278388278388	41.5750915750916	2.65567765567766	16.9413919413919
EA.20140415	1267	1361	0.00169698420595229	1206	0.886113152094049	155	0.113886847905952	0.715167492781601	-0.699989639002824	0.0310880829015544	0.0243359351364434	11.1086550944848	0.568784776963106	0.31124860969274	0.19501627452632	427	840	1038	229	395	643	32	197	33.7016574585635	66.2983425414365	81.9258089976322	18.0741910023678	31.1760063141279	50.7498026835043	2.52565114443567	15.5485398579321
EA.20140514	383	290	0.00396429401391604	277	0.955172413793103	13	0.0448275862068966	0.734448100850331	-0.741342874367235	0	0	7.85675675675676	0.57551503449135	0.482752470302858	0.065924447712075	187	196	274	109	155	119	32	77	48.8250652741514	51.1749347258486	71.5404699738903	28.4595300261097	40.4699738903394	31.0704960835509	8.35509138381201	20.1044386422977
EA.20140930	602	515	0.00284686099026539	491	0.953398058252427	24	0.0466019417475728	0.728069383194187	-0.710427661355337	0.00471698113207547	0.00299760191846523	10.488293516715	0.596748935103984	0.380212217777477	0.0705564031131157	192	410	352	250	169	183	23	227	31.8936877076412	68.1063122923588	58.4717607973422	41.5282392026578	28.0730897009967	30.3986710963455	3.82059800664452	37.7076411960133
EA.20141029	461	383	0.00361218523059511	363	0.947780678851175	20	0.0522193211488251	0.724872371453566	-0.694818172668795	0.0141843971631206	0.0171339563862928	9.02574345317355	0.579267396433683	0.108489274303971	0.0170637097406156	89	372	305	156	60	245	29	127	19.3058568329718	80.6941431670282	66.1605206073753	33.8394793926247	13.0151843817787	53.1453362255965	6.29067245119306	27.5488069414317
EA.20150227	536	531	0.00370344538987306	504	0.949152542372881	27	0.0508474576271186	0.70029069032608	-0.689387339292267	0.0138089758342923	0.00578343548640578	9.42755706073197	0.463862931558504	0.353280746425455	0.110466409413625	247	289	460	76	222	238	25	51	46.0820895522388	53.9179104477612	85.8208955223881	14.1791044776119	41.4179104477612	44.4029850746269	4.66417910447761	9.51492537313433
EA.20150328	466	370	0.00341501684433984	350	0.945945945945946	20	0.0540540540540541	0.736710495625566	-0.686885974459597	0.0154639175257732	0.00868055555555555	7.89321309919317	0.614583333333333	0.244450299716751	0.00700325930233972	69	397	256	210	41	215	28	182	14.8068669527897	85.1931330472103	54.9356223175966	45.0643776824034	8.79828326180258	46.137339055794	6.00858369098712	39.0557939914163
EA.20150516	556	447	0.00289714174606261	415	0.92841163310962	32	0.0715883668903803	0.725752382567976	-0.692450384480078	0.0126849894291755	0.00921985815602837	12.8318364818829	0.661294286299406	0.157239819004524	0.0495213449392861	60	496	310	246	38	272	22	224	10.7913669064748	89.2086330935252	55.7553956834532	44.2446043165468	6.83453237410072	48.9208633093525	3.9568345323741	40.2877697841727
EA.20150627	683	562	0.00241302173007647	518	0.921708185053381	44	0.0782918149466192	0.728792909607118	-0.700725305108665	0.00476190476190476	0.00276854928017719	10.2146798869397	0.549592171766136	0.336261776953174	0.105982605359085	201	482	390	293	162	228	39	254	29.4289897510981	70.5710102489019	57.1010248901903	42.8989751098097	23.7188872620791	33.3821376281113	5.71010248901903	37.1888726207906
EA.20150801	568	510	0.003167151054475	488	0.956862745098039	22	0.0431372549019608	0.722668699275235	-0.713619673736162	0.00873362445414847	0.0156103286384977	9.55000685965153	0.473568431027481	0.339904420549582	0.13925425461399	211	357	357	211	163	194	48	163	37.1478873239437	62.8521126760563	62.8521126760563	37.1478873239437	28.6971830985916	34.1549295774648	8.45070422535211	28.6971830985916
EA.20150829	534	444	0.00311992748276662	419	0.943693693693694	25	0.0563063063063063	0.730058297692938	-0.721015844725283	0.0114285714285714	0.0192753623188406	7.82096566360949	0.497459056220882	0.3615903975994	0.160247882199102	222	312	354	180	172	182	50	130	41.5730337078652	58.4269662921348	66.2921348314607	33.7078651685393	32.2097378277154	34.0823970037453	9.36329588014981	24.3445692883895
EA.20151006	661	567	0.00259936734974556	528	0.931216931216931	39	0.0687830687830688	0.731828690507033	-0.691802116951223	0.0218023255813953	0.0197536427820339	15.4517285289817	0.663025328993915	0.447609465986189	0.0418960585284002	260	401	429	232	225	204	35	197	39.3343419062027	60.6656580937973	64.9016641452345	35.0983358547655	34.0393343419062	30.8623298033283	5.29500756429652	29.803328290469
EA.20151208	499	423	0.00340439915976531	394	0.931442080378251	29	0.0685579196217494	0.73034400923643	-0.703339861149696	0.0056390977443609	0.0036231884057971	13.0438208100013	0.63157686369215	0.337315714058271	0.0674980020808515	152	347	265	234	121	144	31	203	30.4609218436874	69.5390781563126	53.1062124248497	46.8937875751503	24.248496993988	28.8577154308617	6.2124248496994	40.6813627254509
EA.20160225	434	346	0.00368237885931397	324	0.936416184971098	22	0.0635838150289017	0.730643291159726	-0.710583601055793	0	0	8.09616888193901	0.547428451839063	0.447431461272292	-0.0209518641308484	178	256	336	98	150	186	28	70	41.0138248847926	58.9861751152074	77.4193548387097	22.5806451612903	34.5622119815668	42.8571428571429	6.45161290322581	16.1290322580645
EA.20160322	491	398	0.00330853318924311	372	0.934673366834171	26	0.0653266331658292	0.733596630589079	-0.708276897031584	0.00671140939597315	0.00396825396825397	10.5801925722146	0.716515038689416	0.509762297874571	0.0253697717700071	189	302	274	217	158	116	31	186	38.4928716904277	61.5071283095723	55.8044806517312	44.1955193482688	32.1792260692464	23.6252545824847	6.31364562118126	37.8818737270876
EA.20160502	571	454	0.00278981165698836	432	0.951541850220264	22	0.0484581497797357	0.731336302773414	-0.671935037452007	0.0066079295154185	0.00340136054421769	8.68093722881111	0.590306382359363	0.461063627730295	0.0662100456621004	165	406	285	286	124	161	41	245	28.8966725043783	71.1033274956217	49.9124343257443	50.0875656742557	21.7162872154116	28.1961471103327	7.18038528896672	42.907180385289
EA.20160611	543	462	0.00313958940694379	442	0.956709956709957	20	0.0432900432900433	0.727489403422228	-0.713813497601768	0.0106382978723404	0.0120481927710843	12.0131713642258	0.603192559074912	0.399817314523496	0.0794892658196153	199	344	353	190	160	193	39	151	36.6482504604052	63.3517495395948	65.0092081031308	34.9907918968692	29.4659300184162	35.5432780847145	7.18232044198895	27.8084714548803
EA.20160822	620	522	0.0027203085100839	503	0.96360153256705	19	0.0363984674329502	0.722099559563696	-0.706165915214222	0	0	12.8973657885962	0.613801452784504	0.406004489337823	0.0468295818572898	230	390	411	209	193	218	37	172	37.0967741935484	62.9032258064516	66.2903225806452	33.7096774193548	31.1290322580645	35.1612903225806	5.96774193548387	27.741935483871
